symbol	Central_memory	Effector_memory	Gamma_delta	CD4_naive	NKT	Cytotoxic	nTreg	Th1	Th2	Exhausted	iTreg	CD8_naive	MAIT	Th17	Tr1	Tfh	Bcell	NK	Monocyte	Macrophage	DC	Neutrophil	CD8_T	CD4_T
CHMP4A	9.490055122	9.483704972	9.313484849	9.384882965	8.979974339	9.390078255	9.628026106	9.563150366	9.545089991	9.398694467	9.726881642	9.251842686	9.581825663	9.46863587	9.51401421	9.833215362	9.161665101	9.767072604	9.258246882	9.249029646	9.699074666	8.482743248	8.056014152	8.699012997
TM9SF1	7.672159415	7.769654994	7.790025278	7.632088962	7.620673011	7.89945375	7.340903272	7.795818604	7.776495891	7.422368365	7.721076872	7.187001448	7.471639734	7.615779077	7.415888114	7.779664868	6.67292333	7.745268222	7.692149548	8.348800084	7.840788129	7.440803828	6.47002621	6.969473694
CHMP5	9.015093557	8.972769315	9.273412129	8.958656254	8.586757793	9.383699796	9.404293818	9.102621531	8.816682433	9.011843795	8.784486465	8.942384485	9.105203615	8.88840646	8.878315509	9.417812088	7.912547784	8.991140538	8.968196853	9.351121367	9.58105507	9.321686379	7.764858541	8.219003891
CHMP6	7.17765253	7.049496073	7.088279823	7.261273942	7.251142723	7.529891157	7.294938643	7.223323592	7.332696834	7.079854888	7.345843569	7.225592439	7.272736022	7.203427345	7.2841648	7.192424243	6.49040931	7.649884262	7.372326113	7.249561386	7.076645758	7.071531939	6.175264391	6.576393088
CHMP7	8.662807372	8.093368334	8.364988821	9.261572994	8.318609497	8.521948634	8.125352961	8.569557947	8.490679256	8.768379768	8.095366576	9.511613484	8.293866786	8.63271412	8.303444805	9.040734592	9.467146792	8.557803172	8.656073455	8.538521756	8.233905908	7.403641707	7.41026543	7.737192862
CHN1	7.153481574	6.56567404	6.21559104	5.887412431	6.17701488	5.966496183	7.431542764	6.322106783	5.846640581	6.023479963	6.785055404	5.680348834	6.055229056	6.530602516	5.937716649	6.01493552	7.707707809	5.760955695	6.049278739	6.067833528	5.844867459	7.211530922	5.369070447	5.854808537
CHN2	5.810279783	5.806910459	5.435046468	4.998456435	5.613777558	5.561253493	5.174254826	5.164158523	5.867741293	5.286133561	5.296296035	4.835827343	5.527473549	5.588799077	5.261919512	5.857888768	5.13180228	5.921376185	6.302792745	4.853829969	5.678147562	4.937614518	4.65229429	4.995332447
CHODL	5.162210564	5.190224506	5.192015653	5.140221225	5.193356656	5.293437498	5.448982875	5.221945624	5.075746308	5.144637244	5.05268564	5.162562474	5.192861715	5.073334321	5.213922958	4.923875081	5.963989459	5.038075344	5.006762481	4.979036611	4.927596832	5.848391288	4.448700411	4.683136426
CHORDC1	7.632830094	7.6615853	7.473582758	7.025342561	7.113376492	7.261423337	7.230851903	7.572743528	7.600253058	7.391332109	7.919660059	6.984488205	6.957224915	7.156606919	7.075611777	7.634285578	6.531041799	8.051259745	7.1830594	7.862055428	7.293419255	6.304298729	6.288203475	6.762796056
CHP1	8.479014831	8.619924014	8.18889398	8.317433171	8.250362562	8.22636175	8.588789412	8.244231479	8.113579738	8.34685935	8.355847271	7.869973432	8.281286696	8.422003149	8.564132462	8.708675074	8.155750091	7.947601652	8.932898925	8.448669941	8.355799529	8.571482412	7.123729996	7.670134946
CHP2	5.770059803	5.80283799	5.88009619	5.833451702	5.697209091	5.842845513	5.929822139	5.840310088	5.629444523	5.773116872	5.837273395	5.860984237	5.717379521	5.719082231	5.788879442	5.719255363	6.177697258	5.606401423	5.729450596	5.721017144	5.617034562	6.150204362	4.973806482	5.25522738
CHPF	7.27945048	7.385551052	7.403724953	7.236696059	7.091036508	7.41527585	7.437300095	7.300272296	7.320266995	7.200550967	7.257654999	7.274005994	7.354700708	7.245082171	7.569742855	7.431342312	7.343692997	7.437655901	6.982623644	7.005862584	7.151654997	7.595809479	6.274080589	6.670160974
CHPF2	8.066569785	8.305324916	7.953033103	8.05160227	7.885291465	8.113094354	8.349724051	8.133220661	8.197598595	8.033512589	7.93894409	8.038468036	8.113811819	8.142719553	8.313478375	7.913821972	7.553782621	8.486920012	8.30083813	7.959523656	8.089048075	8.50600265	6.966946124	7.385858412
CHPT1	6.797671052	6.842437262	6.578670926	6.943360742	7.141852782	6.475991991	6.389727906	6.976537457	6.970147457	6.954095945	6.822874211	6.752790249	7.037576137	7.055522166	6.793819328	6.689677848	7.822786398	6.030837369	7.438649792	7.467426455	6.071593732	7.171734698	5.856624783	6.233267688
CHRD	5.559404972	5.544471866	5.627373897	5.642849176	5.531522337	5.717032121	5.48129134	5.607726535	5.515098487	5.581589058	5.673532873	5.692640039	5.626182886	5.608286859	5.51168216	5.598473787	5.724741138	5.492907364	5.585726563	5.54367476	5.649362014	5.911720459	4.812645302	5.079423528
CHRDL1	4.830240139	4.892916836	4.965662322	4.847013835	4.887844661	4.835611187	4.813630908	4.89359065	4.75146321	4.951772207	5.115622888	4.856863182	4.893393131	4.954520909	4.929494398	4.822932287	5.477234825	4.759106648	4.836537055	4.768823808	4.657227737	5.291189914	4.186843073	4.440092176
CHRFAM7A	5.350693445	5.399153239	5.293445948	5.424610114	5.371266827	5.29910727	5.288224794	5.457512275	5.237435972	5.381073553	5.282716383	5.421345711	5.435741041	5.347287243	4.917305163	5.600663421	5.278354172	5.258901146	5.571994791	5.437461699	5.441978996	5.260665624	4.590879988	4.872439844
CHRNA7	5.350693445	5.399153239	5.293445948	5.424610114	5.371266827	5.29910727	5.288224794	5.457512275	5.237435972	5.381073553	5.282716383	5.421345711	5.435741041	5.347287243	4.917305163	5.600663421	5.278354172	5.258901146	5.571994791	5.437461699	5.441978996	5.260665624	4.590879988	4.872439844
LOC101929970	5.350693445	5.399153239	5.293445948	5.424610114	5.371266827	5.29910727	5.288224794	5.457512275	5.237435972	5.381073553	5.282716383	5.421345711	5.435741041	5.347287243	4.917305163	5.600663421	5.278354172	5.258901146	5.571994791	5.437461699	5.441978996	5.260665624	4.590879988	4.872439844
LOC101930361	5.350693445	5.399153239	5.293445948	5.424610114	5.371266827	5.29910727	5.288224794	5.457512275	5.237435972	5.381073553	5.282716383	5.421345711	5.435741041	5.347287243	4.917305163	5.600663421	5.278354172	5.258901146	5.571994791	5.437461699	5.441978996	5.260665624	4.590879988	4.872439844
CHRM2	5.25753007	5.274187023	5.453791761	5.455880841	5.445534273	5.229379362	5.121089449	5.361028024	5.281970906	5.420765908	5.335934685	5.440338422	5.406347956	5.378239179	5.090570687	5.144500166	5.945638045	5.175503033	5.245883089	5.212028904	5.275722034	5.761773615	4.578071105	4.790886864
CHRM3	4.773767209	4.805809481	4.838695692	4.788897176	4.811751477	4.650290031	4.851613748	4.771629824	4.796187975	4.83133341	4.685599665	4.918094083	4.812427122	4.829150705	4.915619343	4.663900424	5.216465564	4.674619772	4.783379828	4.746403912	4.658774232	5.096017917	4.116156588	4.34617768
CHRM4	5.333109769	5.312417372	5.362223569	5.280088108	5.364387266	5.156922893	5.326618829	5.316826125	5.356912782	5.339039894	5.31694561	5.273542655	5.360671706	5.349617001	5.484646795	4.890784249	5.284204327	5.372996672	5.312812694	5.29628706	5.338721413	5.375857817	4.538987129	4.809266069
CHRM5	5.409179086	5.444622872	5.500290366	5.381693488	5.488564491	5.357811493	5.435462238	5.431863339	5.394243608	5.41663335	5.464590658	5.452695226	5.422565456	5.353616674	5.736759513	5.124482059	5.718826313	5.20613274	5.360987435	5.33204338	5.415776515	5.838605101	4.629771739	4.930454052
CHRNA1	4.756017881	4.652485309	4.670654397	4.585992095	4.611250366	4.504115732	4.772091422	4.596840751	4.590708838	4.61480528	4.622733643	4.558025822	4.61930139	4.610002061	4.491939748	4.557353402	4.841710689	4.388984769	4.670965214	4.589126445	4.671401711	4.795140549	3.959257889	4.186596661
CHRNA10	5.110599588	5.16844348	5.331649601	5.167716496	5.143806062	5.204249665	5.256991219	5.189151641	5.123625227	5.201614371	5.271503473	5.198632122	5.212111479	5.170062055	4.946200486	5.051720507	5.438096235	5.187395787	5.114162078	4.984007045	5.094656538	5.628732364	4.430249664	4.679955104
CHRNA2	6.656046307	6.927260537	6.925994023	6.778141694	6.826531613	6.702795752	6.947980304	6.832702751	6.717388983	6.845891616	6.744092908	6.977006319	7.035661294	6.891349683	6.823963121	6.350455464	7.475845525	6.582962175	6.779853498	6.73847356	6.706558558	7.471917061	5.860657208	6.154648629
CHRNA3	5.657838149	5.638481568	5.667779157	5.580483403	5.606869421	5.704130398	5.536479219	5.547903254	5.542885188	5.610806409	5.588346058	5.59941929	5.497132369	5.590173243	5.779316029	5.50817914	6.148423411	5.367032569	5.572898194	5.549495082	5.560831465	5.957446297	4.816709344	5.075905332
CHRNA4	5.194801716	5.174015403	5.265862057	5.183258843	5.185832703	5.09215564	5.247113027	5.155421284	5.185401301	5.179285895	5.089230645	5.196043777	5.163356312	5.177209011	5.428029687	5.058794791	5.36436937	5.076387336	5.159685604	5.099865314	5.152031216	5.494937315	4.42941824	4.72513944
CHRNA5	4.407243267	4.470414122	4.690538933	4.423336159	4.707686471	4.463530921	4.579802805	4.504336286	4.310183384	4.465507084	4.570423137	4.360031319	4.357477499	4.504336286	4.135441094	5.196421303	4.423039653	4.566222651	4.475172779	4.388926652	4.335684093	4.638581277	3.815824824	4.091348442
CHRNA6	6.006292147	5.995869189	6.225779235	6.089574033	6.130671654	6.291941393	6.178169387	6.02327206	5.979638609	6.063248178	6.426237314	6.177868988	6.05498205	6.013467289	6.028681198	6.132493935	6.456484326	5.890889287	5.964553927	5.911584248	5.959983554	6.637504359	5.218146803	5.538143015
CHRNA9	4.514093249	4.542936376	4.563274513	4.561350355	4.567834759	4.618871927	4.618781187	4.516250427	4.524487288	4.519448414	4.450694936	4.534957486	4.51281756	4.550975588	4.396298967	4.764604119	4.858013629	4.38067488	4.470960332	4.513458691	4.442445479	4.711027765	3.887921085	4.128812627
