symbol	Central_memory	Effector_memory	Gamma_delta	CD4_naive	NKT	Cytotoxic	nTreg	Th1	Th2	Exhausted	iTreg	CD8_naive	MAIT	Th17	Tr1	Tfh	Bcell	NK	Monocyte	Macrophage	DC	Neutrophil	CD8_T	CD4_T
A1CF	5.010522259	5.095277764	5.11019795	5.280813044	5.175672066	5.002560868	4.920677812	5.070343199	5.117477788	5.109500777	5.083492537	5.089967051	5.169763693	5.169400288	5.531012761	4.823342549	5.613662468	4.840071053	5.055093117	5.033974428	5.04218656	5.345458069	4.370311111	4.64708937
A2M	6.957130919	7.225374099	6.824212594	6.471705769	6.585716645	6.286602757	6.75260397	6.36395758	6.563790224	6.619729837	5.775991213	5.986982997	7.079121905	6.420703088	7.367484479	6.115474229	6.142333486	5.671740013	5.806918583	7.594651275	8.996565358	5.98007502	5.730065978	6.058757267
A4GALT	6.684824527	6.689062087	6.775673486	6.736241629	6.882241718	6.733715118	6.646031153	6.77227355	6.656402081	6.700890304	6.609669032	6.793176678	6.76781224	6.765056556	7.110470147	6.483704772	6.987707169	6.504400697	6.605347092	6.446603074	6.866959804	7.234339268	5.737488803	6.11979139
A4GNT	4.809624954	4.851371442	4.901447811	4.834448451	4.862642664	4.827276492	4.844047148	4.787727623	4.883322382	4.801000015	4.815546811	4.8256602	4.862012524	4.806636705	4.806706265	5.041766442	4.974757605	4.733571694	4.731268419	4.796575016	4.766082309	4.800627177	4.145857787	4.409725829
AAAS	7.397533316	7.492778012	7.692605285	7.68841875	7.521046488	7.752833062	7.648956267	7.643055388	7.678905272	7.44387579	7.877966526	7.532904205	7.64740538	7.531565484	7.290897508	7.707576417	7.994243072	7.624358216	7.303667928	7.571627812	7.271798084	7.807648925	6.468924537	6.891631388
AACS	7.033224025	7.085962252	7.376502681	7.104012502	6.737578382	7.19479219	6.623870943	7.181061406	7.510939195	7.018317031	7.629013124	7.384065049	6.979029403	7.250273525	6.864445325	8.103424552	6.647283369	8.079590433	7.012877212	6.925184273	7.248300656	6.503842604	6.099788867	6.56966656
AADAC	4.988244445	4.968917322	5.066550772	5.053171647	5.05068141	5.097096742	4.902142869	5.058687106	4.956884975	5.023168582	5.094641128	5.020202274	4.973095007	5.060000499	5.149179774	4.927641111	5.336573865	4.951564423	4.983912739	4.874778975	4.9473943	5.422174025	4.29489238	4.566844976
AAGAB	7.159068527	7.109374513	6.919090466	7.011964845	7.083129234	7.065852154	7.074152918	7.069188492	7.10106165	6.980704826	7.316080458	6.932968716	7.076378759	7.069407323	7.218472179	6.96004867	6.710794683	7.526873697	7.000885525	6.883339676	7.127556467	6.533840641	6.04701665	6.461421732
AAK1	5.995084721	5.916434126	6.08063545	6.02942009	5.814710281	5.62260094	6.272451997	5.988304305	6.017558459	5.976348126	6.130476321	6.21890754	5.904158454	5.930844566	6.415785997	5.123625538	5.905975474	6.177151614	6.064408357	5.952610254	5.797212059	5.771620091	5.10384453	5.438062871
AAMDC	6.713285149	6.811370348	6.927193503	6.751996423	6.819927093	6.78565256	6.824550207	6.729053171	6.7417693	6.852945274	6.624779443	6.634331331	6.82080801	6.802066142	6.365677229	6.448148588	6.665469599	6.269142449	6.735117832	6.662938006	7.337918271	7.094187926	5.743203187	6.086851945
AAMP	8.252559069	8.32134394	8.55648434	8.42679638	8.332654612	8.457151718	8.246610969	8.473162703	8.30252247	8.407332818	8.373252061	8.291562478	8.455634045	8.419208499	8.599495973	8.155484585	8.787400247	8.135630377	8.593794582	8.256077823	8.256993397	8.452242852	7.18155073	7.598898313
AANAT	4.516685705	4.415636289	4.378985436	4.491011952	4.408619255	4.4202429	4.501487828	4.489411854	4.474481231	4.420177831	4.397702618	4.510552308	4.461355464	4.513497849	4.633513295	4.398195659	4.400295397	4.444730936	4.465617919	4.377955025	4.588753888	4.66028882	3.825340152	4.077335882
AAR2	8.021617023	8.149943117	8.090616131	8.125151556	7.863830296	7.851961541	7.837521981	8.075129525	8.097010453	8.041256499	8.093075287	8.058279629	7.937786022	8.06503358	8.459426852	8.349224581	8.380184362	8.166472979	7.933102881	7.791103451	8.025468247	7.726113226	6.896619878	7.36452907
AARS	8.603653477	8.438397072	9.190640643	8.948103469	8.472708219	8.533478939	8.607833278	8.982331794	8.895872615	8.591126128	8.881331058	8.910063303	8.319818452	8.833807729	8.825964265	8.522659976	8.120946277	9.637583335	8.238884311	9.085177051	9.146130748	7.664642543	7.34075827	7.967296641
AARSD1	7.404647281	7.288597157	7.531411672	7.460258988	7.173840032	7.279374653	6.932122231	7.389093344	7.447975701	7.383743321	7.483037298	7.403156775	7.15513237	7.222929223	7.233127422	7.396050316	6.649198756	7.812100142	7.287139912	7.22552358	7.153617885	6.804753354	6.296469476	6.628467516
PTGES3L	7.404647281	7.288597157	7.531411672	7.460258988	7.173840032	7.279374653	6.932122231	7.389093344	7.447975701	7.383743321	7.483037298	7.403156775	7.15513237	7.222929223	7.233127422	7.396050316	6.649198756	7.812100142	7.287139912	7.22552358	7.153617885	6.804753354	6.296469476	6.628467516
PTGES3L-AARSD1	7.404647281	7.288597157	7.531411672	7.460258988	7.173840032	7.279374653	6.932122231	7.389093344	7.447975701	7.383743321	7.483037298	7.403156775	7.15513237	7.222929223	7.233127422	7.396050316	6.649198756	7.812100142	7.287139912	7.22552358	7.153617885	6.804753354	6.296469476	6.628467516
AASDHPPT	8.065144935	8.11215556	6.878931579	7.778814919	7.936570157	8.226098574	8.700983085	8.012458564	8.203194156	8.026637884	8.602512752	7.92410469	8.016492764	7.699819929	7.82005453	7.834415906	6.600581826	8.588734923	8.490736014	8.155329853	8.102606118	6.468206657	6.869738398	7.357867118
AASS	4.641298303	4.517455524	4.553461244	4.66899422	4.720449512	4.444333281	4.818208454	4.731018239	4.559153518	4.568026088	4.681278456	4.948994671	4.82750937	4.734901299	4.339341254	4.471036569	4.986466164	4.821161489	4.589005388	4.494234568	4.518433412	5.127401331	3.975050676	4.215867635
AATF	9.233475285	9.211710058	9.236181167	9.034471078	9.218915176	9.297716357	9.159489173	9.245638661	9.200419607	9.308257583	9.462835141	8.866640423	9.184861406	9.229740577	9.446874548	9.240387674	8.948067976	9.688130662	9.057157458	8.864372238	9.149692674	8.821027168	7.856614478	8.409678051
AATK	7.067087255	7.145671898	7.135846794	7.185292114	7.126533542	7.273191658	7.281600999	7.123747554	7.16925873	7.146402976	7.042866291	7.157596823	7.204667255	7.081937821	7.707217689	7.318088128	7.487033677	6.84394106	7.122950156	7.066381685	7.148618037	7.934016849	6.13888785	6.56167695
ABAT	6.48708523	6.501673607	5.816715136	6.197669155	6.295454502	6.585726654	6.820200507	6.503003905	6.967396624	6.165566266	7.396022798	6.23790212	6.394626778	6.574457308	6.720962367	7.296209005	5.497827079	6.535228874	6.890935112	6.208873316	6.217453915	7.370369311	5.478042955	6.138685016
ABCA1	5.116726359	5.133057926	4.942608976	5.693976048	5.406482144	5.088532611	5.146680958	5.396198509	4.761158669	4.989300754	4.905543678	5.378267682	5.253605723	5.342003069	6.36778373	4.498797096	5.329751483	4.456508313	5.376417868	6.568611452	4.751098602	5.8657903	4.474025952	4.77564033
ABCA11P	5.025196323	4.91017885	4.988804641	5.230741514	5.120878824	5.064088839	4.750468237	4.995661309	4.96934577	4.982276738	5.072596277	5.403846246	4.995992873	4.976822484	4.64272881	4.635016525	5.509245715	5.255020147	4.733950376	4.781618036	5.008869347	4.816853327	4.339192802	4.456752908
ABCA12	3.926177013	3.907819668	3.873308292	3.929952138	3.933838598	3.803128697	3.939229536	3.92369243	3.913252123	3.927763278	3.956296803	3.918062387	3.913671049	3.92369243	3.9790111	3.699366276	4.150135077	3.896914383	3.820405426	3.896002509	3.898290082	3.987447144	3.339810153	3.56026796
ABCA2	6.229840975	6.373619359	6.390194053	6.15391319	6.340489828	6.485785626	6.384800392	6.311245432	6.318858652	6.188743305	6.212663862	6.075655054	6.184833842	6.200755454	6.235038206	6.085157943	6.321352183	6.681548447	5.927427703	6.070392612	6.108464981	6.526576204	5.357747988	5.684542263
ABCA3	6.473640862	6.545009933	6.761308229	6.502369411	6.485296571	6.792455682	6.56879175	6.476607171	6.587380006	6.552228797	6.419340121	6.421937294	6.755770906	6.613640694	6.557649434	6.04393253	6.728530537	6.708414034	6.241856018	6.255121915	6.597586451	7.050306309	5.641508147	5.891741084
ABCA4	5.388350209	5.390015564	5.286804144	5.380001223	5.3635265	5.219132509	5.45671943	5.370897879	5.301904756	5.366539088	5.439627075	5.378609101	5.30620679	5.370686001	5.286564976	4.98678123	5.798026621	5.181136406	5.307326525	5.316028444	5.280793137	5.585492631	4.577719322	4.855339062
ABCA5	6.258292786	6.248148223	5.937728378	6.343159956	6.472993026	6.384031434	5.752491316	6.169853651	5.986253122	6.038851304	5.824687956	6.334136337	6.427952602	6.293427185	6.269562068	6.969111264	5.799798717	6.58472792	5.596997602	5.943827496	6.778563363	5.840829949	5.370715572	5.633170403
ABCA6	4.216283202	4.385169872	4.339894508	4.439561327	4.342064522	4.223690022	4.267820605	4.351674371	4.259255907	4.320337182	4.212787911	4.339377288	4.518080894	4.32234814	4.39568376	4.799252192	4.251104806	4.173950208	4.234305122	4.277574377	5.15791141	4.240335313	3.715695419	3.967050713
ABCA7	7.337300373	7.006512999	7.259703642	7.585886934	7.668388592	7.891143692	7.136061257	7.279650868	6.988054953	7.266621705	6.949341985	7.628336167	7.68793944	7.487420881	7.301465371	7.534070983	7.54036883	7.144909667	7.586877129	6.755524072	7.172457613	8.642119166	6.412464989	6.606288331
ABCA8	4.403828311	4.342621522	4.485382943	4.424406729	4.383577547	4.412943289	4.396002373	4.495342597	4.433622937	4.440317202	4.515293007	4.445546177	4.390188179	4.489917653	4.552126737	4.418431171	4.769600468	4.312741695	4.383569781	4.395843823	4.34996859	4.572079793	3.76690768	4.054876763
ABCB1	6.028507763	6.512084319	5.455747641	5.852678869	6.636036137	5.34765212	5.138201282	6.058040985	6.02293544	5.863022414	5.791370874	6.633344636	6.280634943	6.242138913	5.609951617	6.035649605	6.341645586	7.190079203	5.398766888	5.466364596	5.553279137	5.871190595	5.198195775	5.398251885
ABCB11	4.300819874	4.383569836	4.315359448	4.373211353	4.339943793	4.334854239	4.268836283	4.329982743	4.313657355	4.357762944	4.393290068	4.289889649	4.281881358	4.332243668	4.163723124	4.262892526	4.375009992	4.290600517	4.335815949	4.333476502	4.312123125	4.429628387	3.705734941	3.91769331
ABCB4	5.630600062	5.772423463	5.471532258	5.51204856	6.168535868	5.455173927	5.065406278	5.59487552	5.691112452	5.583371162	5.405927129	5.976117548	5.95923716	5.780218527	5.288144001	6.24918084	6.220232014	5.893952133	5.177011175	5.305838616	5.452119735	5.527713511	4.900947344	5.091582689
ABCB6	6.185104092	6.326365595	6.160467605	6.251542416	6.212664884	6.223707418	6.543845999	6.479946301	6.37311204	6.226884709	6.188869164	6.357568758	6.295492846	6.370244365	6.150728641	6.27795709	6.237667756	6.132530078	6.149205999	6.377443214	6.485648304	6.52881342	5.365500188	5.744967392
ABCB7	7.76452873	7.622491556	7.786914111	7.807858279	7.536215143	7.460961279	7.437657179	7.69426827	7.948262094	7.862953796	8.038092177	7.875893538	7.518577901	7.556558602	7.849480678	7.956984452	7.28580168	7.800182598	8.461013037	8.009789373	7.761639956	6.521286963	6.557999325	7.084372288
ABCB8	5.476121061	5.379416877	5.578969354	5.565636409	5.495558538	5.388018421	5.441506103	5.530350342	5.567700703	5.446503178	5.487376218	5.600079221	5.432847572	5.516584696	5.250285511	5.482356214	5.299794459	5.44901255	5.509524267	5.514711493	5.654850319	5.774232752	4.680160101	4.966208357
ASIC3	5.032002506	4.895142054	5.085050292	5.215724746	5.00461017	4.890163973	4.889802568	5.005209061	4.977835868	4.93977383	4.932603928	5.183362465	4.943578781	5.005209061	4.573493585	5.305443178	5.338981249	4.669364964	4.927903871	5.01011192	5.027778434	5.436657923	4.263449887	4.518278045
ABCB9	5.565671509	5.430081459	5.421077035	5.653695486	5.567931863	5.728464039	5.379254927	5.591730411	5.533689217	5.532199162	5.482422701	5.6490909	5.632446999	5.587074481	5.560625144	5.501812922	5.404019036	5.378163854	5.563198102	5.651453228	5.835821606	5.618342793	4.787851708	5.028526372
ABCC1	9.073731004	8.643797678	8.920471588	8.421307056	8.269664834	8.319199821	8.996285298	8.768143815	8.623016166	8.862612885	8.859943199	8.780468757	8.572517333	8.730269664	9.244328185	7.529857176	8.305421211	8.158130967	8.488272994	9.218573121	9.315076094	8.243277265	7.441794777	7.894726609
ABCC10	8.129561727	8.302763148	7.866803123	7.880415343	8.015966624	8.438361448	8.525439516	7.828814431	8.208462795	7.98111793	7.780842335	7.798645951	7.791988824	7.961749571	7.995885268	7.976081073	7.695970967	7.870475317	7.935878767	8.176552686	8.560737209	7.007510163	6.923981003	7.303195043
ABCC2	5.54899733	5.544141814	5.658329005	5.472353094	5.627968297	5.458197246	5.794270238	5.552961158	5.420707664	5.425582371	5.488904546	5.703895326	5.534573164	5.490835383	5.258520929	5.510322124	5.73758907	5.205125106	5.578129202	5.519628149	5.615310433	5.859027675	4.738544826	5.024708843
ABCC3	6.225365135	6.302136135	6.040831965	6.291630439	6.280379428	6.637534826	6.360205688	6.358504031	6.033446768	6.283136161	5.756434741	6.333415845	6.25486389	6.372316992	6.310266997	6.326163622	6.003349194	5.68616394	6.151530144	7.191125664	7.252054496	6.05176907	5.432122745	5.685699213
ABCC4	5.72597436	5.337102548	5.159242782	5.262435445	5.618454532	5.322940082	5.129734175	5.35589247	5.605822766	5.509178222	6.104512645	5.11502553	5.423820713	5.377372424	4.321071159	5.496790229	5.004127728	5.526815437	4.878324471	5.666999095	6.503046826	4.915960002	4.582521891	4.905452439
ABCC5	6.96073063	6.742234621	6.948992548	7.106510411	7.297874312	7.787379537	7.244773249	6.923608555	6.936066583	6.781543014	6.833332296	7.252191382	7.190762859	7.1930376	6.222266786	6.447386777	7.375030892	6.51889206	7.205733301	7.106312692	6.261375485	7.781697366	6.070008409	6.275636419
ABCC6	4.837477892	4.819674959	4.76616944	4.89431927	4.912985795	4.765376926	4.879049532	4.885170861	4.872196737	4.858709886	4.865019919	4.877524202	4.924008157	4.885170861	5.123586695	4.719516576	4.812545433	4.749520434	5.292541082	4.81333949	4.85248219	4.97079874	4.157824824	4.434791731
ABCC6P1	4.571524358	4.557216627	4.503245512	4.695635021	4.727456956	4.459500244	4.48633012	4.686904897	4.724963441	4.685310091	4.598801726	4.571578368	4.696607102	4.703320594	4.915774772	4.558819069	4.482412424	4.538843108	5.348673099	4.5353097	4.640349672	4.722961735	3.93430539	4.232840794
ABCC6P2	4.571524358	4.557216627	4.503245512	4.695635021	4.727456956	4.459500244	4.48633012	4.686904897	4.724963441	4.685310091	4.598801726	4.571578368	4.696607102	4.703320594	4.915774772	4.558819069	4.482412424	4.538843108	5.348673099	4.5353097	4.640349672	4.722961735	3.93430539	4.232840794
LOC101930322	4.837477892	4.819674959	4.76616944	4.89431927	4.912985795	4.765376926	4.879049532	4.885170861	4.872196737	4.858709886	4.865019919	4.877524202	4.924008157	4.885170861	5.123586695	4.719516576	4.812545433	4.749520434	5.292541082	4.81333949	4.85248219	4.97079874	4.157824824	4.434791731
ABCC8	5.735083507	5.682096025	5.781263775	5.727406817	5.782387594	5.530550414	5.783553376	5.676795559	5.679200006	5.751650325	5.670906815	5.759862578	5.773291317	5.690371875	6.032861198	5.272919782	5.807609374	5.467142515	5.691990693	5.740398883	5.793897031	6.010246759	4.887478046	5.176721322
ABCC9	4.216322393	4.189466785	4.257945816	4.238156257	4.20794166	4.235884609	4.414584377	4.229120791	4.210320379	4.23386757	4.340486592	4.210307509	4.218258792	4.256027183	4.311528602	4.093644583	4.448169547	4.155671867	4.183309837	4.200320516	4.199623547	4.551189883	3.612338386	3.865873421
ABCD1	6.541307794	6.589496582	6.484833102	6.66351855	6.676255449	6.575688254	6.825492672	6.552543991	6.510207921	6.560431674	6.518879774	6.618422006	6.691547325	6.649366194	7.187407576	6.069200835	6.46911011	6.063845501	6.830336661	6.964179389	6.967154567	6.574015871	5.652087316	6.012733842
ABCD1P2	4.781274954	4.742041692	4.696320459	4.815856294	4.754109259	4.722228173	4.690271097	4.743693116	4.663697656	4.788887927	4.857675909	4.708353795	4.740555185	4.732595344	5.022636239	4.610072691	4.813930193	4.666461671	4.785062986	4.80624697	4.819288457	4.633209152	4.0771411	4.32459823
ABCD2	4.498327265	4.198051069	4.343758511	4.294659279	4.079656847	4.154789032	4.067225546	4.301943667	4.583279893	4.252899344	4.503686097	4.589921654	4.252217916	4.250167784	4.483904979	3.483574602	4.692347662	4.211510325	4.164274861	4.229173731	4.374446849	4.316656828	3.682261233	3.879796031
ABCD3	7.539711707	7.705932363	7.478825905	7.570162649	7.707694991	7.579798418	7.32066771	7.28141535	7.84406751	7.439319363	7.89155131	7.060359361	7.408087396	7.283230961	7.149605121	7.55186705	6.555661556	8.14088472	7.824087098	7.9846095	7.356144404	5.897605334	6.431222258	6.821940292
ABCD4	6.495839072	6.454280632	6.488326529	6.647691661	6.531017491	6.673550571	6.451380598	6.409665795	6.340200787	6.492716485	6.233130352	6.633823573	6.548678838	6.431626366	6.776315017	6.37999282	7.018761266	6.36742706	6.310947963	6.362394756	6.327262858	6.523644326	5.637771441	5.861060841
ABCE1	9.079410913	8.919522819	9.431110648	9.158928762	9.323093799	8.715974771	8.992743781	9.302806932	9.266247267	9.045896316	9.28791799	9.0892449	8.861644248	9.078759768	8.880610326	8.679557795	8.553005244	9.560517621	8.773464765	9.632905888	9.164948315	7.245776159	7.679454505	8.25107085
ABCF1	9.306114928	9.257253309	9.292095073	9.134457761	9.067144039	9.387911955	8.71891763	9.391783163	9.362745408	9.195348931	9.587555339	9.07320788	9.029557405	9.066098608	8.571807827	9.511114962	8.71480175	9.949295707	8.997580347	9.048078847	9.423546995	8.224690995	7.900124377	8.331320832
ABCF2	7.260720015	7.063293388	7.346771823	7.141192187	7.374257423	6.876857777	6.889184884	7.225483584	7.101342404	6.903050959	7.396073652	7.091385619	7.072281494	7.00836289	7.000228952	6.634332944	7.040672685	7.495098385	7.03480822	6.82839088	6.725586847	7.27048764	6.039776155	6.407495371
ABCF3	7.457947878	7.509641495	7.463806751	7.595771648	7.57845411	7.802564337	7.197939361	7.336209976	7.318638467	7.385052266	7.2757907	7.492488634	7.430789613	7.336209976	7.638105059	7.510423321	7.414281869	7.47652391	7.216582057	7.399615661	7.512823229	7.183695336	6.451284285	6.709410984
ABCG1	6.734144762	6.142056986	5.745716568	6.266184913	6.189910536	5.488618139	5.982910139	6.100818751	6.237896831	6.089343103	5.649326223	6.832284751	6.012390697	6.309523214	5.93415478	6.451886043	5.615664101	5.598517773	5.722623015	6.796391701	6.65192178	6.846469345	5.337328121	5.589610642
ABCG2	5.613559537	5.406186556	5.270728232	5.360504215	5.522946875	4.957121343	5.541476234	5.246769116	5.309221735	5.463238288	5.543878044	5.149116755	5.614395725	5.384709886	6.722014864	5.057125173	5.793747221	5.079986598	4.824862932	6.059212938	4.872185468	5.29974897	4.54809332	5.024160154
ABCG4	5.801260747	5.768583692	5.837454387	5.752816993	5.931429754	5.799697421	5.963339734	5.812919751	5.763782825	5.847829868	5.844190288	5.843914748	5.7482698	5.88454187	5.768995521	5.868654597	6.315675412	5.651904712	5.704694479	5.65639441	5.715370318	6.21488358	4.947232407	5.303842779
ABCG5	4.427720387	4.414415306	4.478496564	4.461819623	4.55678851	4.488632064	4.45690256	4.491119243	4.516255116	4.432547228	4.543331472	4.415158742	4.484547661	4.47111241	4.312424564	4.37821181	4.71479503	4.309296861	4.464560801	4.449714906	4.380973468	4.761655906	3.802988053	4.044658556
ABHD10	8.165285257	7.96785933	8.087161417	8.280735565	7.942587924	7.807617962	7.718463546	8.279843263	8.111683461	8.10756478	8.241610988	8.38616942	8.110305737	8.112048678	7.429137059	8.265979953	8.210895619	7.866462534	7.949769692	8.728322969	7.920198117	7.528797693	6.943555233	7.327891123
ABHD11	6.835874037	6.694760364	6.898309387	6.829667284	6.789961468	7.015249476	7.117399136	6.798836549	6.729262841	6.773726813	6.851056917	6.707193791	6.907958112	6.763787486	6.680121247	6.749043084	6.765133172	6.818555399	7.223105864	6.673836837	6.756502714	6.951411549	5.82392183	6.189508171
ABHD14A	7.405214014	7.435737667	7.611722624	7.40340986	6.91552744	7.667175519	7.450237735	7.350366269	7.445263549	7.340531642	7.166256937	7.07268285	7.453778133	7.331746645	7.424260787	7.308705937	7.346816705	7.574427656	7.313425715	7.273507803	7.020858848	7.613308021	6.325554978	6.693359198
ACY1	7.169141587	7.066070971	7.417531016	7.31374522	6.839875837	7.389248277	7.170908811	7.278848878	7.307262212	7.127815615	7.177134345	7.135590045	7.172027111	7.231423914	6.980607035	7.526228938	6.749953829	7.247209039	6.973635872	7.520630882	7.554233244	6.786085918	6.122600571	6.575097995
ABHD14A-ACY1	6.777839447	6.707906728	7.261175027	7.256600741	6.678467654	7.083755864	6.893663251	7.204350547	7.259313976	6.901492618	7.325129311	7.02542765	7.041900058	7.141542	6.615336813	7.624608536	6.455232708	6.911710675	6.751416429	7.536345952	7.67064647	6.343929778	5.936781367	6.451106165
ABHD17A	8.107088154	8.316571144	8.034724898	8.602870651	8.399031238	8.975406747	8.321449309	8.411931201	8.799277004	8.260620749	8.50645908	7.911123489	8.465641357	8.364278254	8.178443371	8.947590141	7.877976261	9.668721557	8.321733795	8.100812357	8.097340841	8.088454116	7.111921426	7.690750676
ABHD17B	6.494196532	6.668590208	6.735762291	6.08289522	6.675266954	6.472185356	6.602038996	6.720740823	6.381537846	6.346219796	6.607630653	6.311899479	6.370380961	6.452814603	6.398195467	7.164136503	6.896729663	6.930053996	6.075316588	6.108176974	6.003105348	6.208407251	5.527972678	5.955227965
ABHD2	7.008860767	7.150412493	6.739212898	6.993995481	6.619751215	6.790757552	7.561002184	7.08688041	6.730471393	6.974657335	6.910507087	6.593120371	7.117604207	6.990299759	6.909233239	7.444069467	6.256893562	7.330259166	7.32456627	7.696414144	6.874018421	7.241567715	5.927038389	6.487728909
ABHD3	8.240600244	8.097280553	8.236816896	7.648116493	8.285505999	7.847901333	9.015171404	8.26496163	8.188762641	8.033512962	7.508792198	8.395505957	8.0883179	8.116436125	7.45778286	8.552321241	6.828439191	8.724550487	8.613634644	8.351622466	8.03942434	9.041792652	6.893120509	7.404380727
ABHD4	6.517365668	6.721647884	6.626349839	6.392285666	6.560984779	6.414143651	6.816916569	6.451978351	6.417991703	6.493023259	6.376535655	6.399200261	6.546883975	6.55446087	7.083538384	6.568192607	6.589034272	6.051770655	6.345662446	6.747703979	6.864366584	7.008411209	5.584130574	6.00456327
ABHD5	5.617911358	5.87773489	5.644745711	5.354808421	5.703199048	5.314669228	6.026512586	5.672903164	5.386056423	5.577412036	5.6423614	5.125176187	5.324201027	5.749401492	5.352395149	5.906494562	5.14604654	5.487116734	6.164956189	5.649063148	5.362810335	7.147294108	4.658783876	5.175862465
ABHD6	5.470595529	5.649382745	5.738366278	5.690780223	5.576712474	5.370863891	5.868899652	5.45602639	6.039121869	5.595097962	5.842075125	5.34971662	5.80980147	5.708464088	5.562450399	5.976313599	5.222740145	5.430264061	5.641903033	6.36018854	6.102898117	5.260558929	4.749897398	5.214403051
ABHD8	5.830662565	5.73610536	5.641980762	5.836442146	5.810698817	5.85863916	5.581218378	5.787886894	5.861978643	5.722420557	5.776408443	5.827882875	5.878975845	5.8064719	5.955743394	5.686778094	5.34191217	5.61379011	5.993280933	6.001184702	5.961743296	5.971095055	4.987159036	5.269233565
ABI1	8.63623363	8.38976073	9.357244555	8.092020919	8.645333401	6.67759856	6.616006272	8.091435094	8.276096653	8.391705577	8.444700179	8.119103279	8.69923498	8.217677191	9.162994106	9.342449351	7.013816374	8.592211012	8.404350851	8.641242301	9.34507311	8.479618534	6.87449562	7.615632564
ABI2	7.14873078	7.134053085	7.299244418	7.137400542	7.090544967	6.694136295	7.110617014	7.15282656	7.089126642	7.107847485	7.365339948	7.192759327	7.189256283	7.125217566	7.515641344	7.506364262	7.742163741	6.844739139	6.873283684	7.047106685	6.997150175	7.464515622	6.067088786	6.572972007
ABI3BP	3.943760375	3.957076403	3.940433783	4.027462287	3.924714288	3.889674348	3.846207431	3.948388342	3.928075868	3.959305663	3.970803675	3.878763714	3.988256554	3.922585561	3.990156819	3.816495639	4.132724043	3.924350489	3.870053639	3.913213681	3.929979267	3.975836342	3.380750119	3.57024216
ABL1	7.764158514	7.952544429	7.534873286	7.675396363	7.435811884	8.149156981	7.337658703	7.661173947	7.763562038	7.517728625	7.792977297	7.619573495	7.490966878	7.618572595	7.409721837	7.994596821	7.347700063	8.110680144	7.671718685	7.917094299	8.109745259	6.674760131	6.645607797	6.965569912
ABL2	6.509931874	6.542149545	6.645372978	6.751241482	6.742135686	6.781280757	6.353975206	6.612021651	6.277847253	6.476006126	6.469065457	6.843778815	6.545208314	6.655758025	6.292786794	6.471115104	7.017073936	6.190549598	6.23220514	6.44924801	6.891761335	6.655626356	5.70483501	5.872019238
ABLIM1	8.799477146	8.019932352	8.177388728	9.63582363	9.285930022	8.279476426	8.225709995	8.811088973	8.845250617	8.705191407	8.33145565	10.10788051	8.245522149	8.60568284	8.684599334	8.120959797	10.12558062	8.895129304	7.830105877	7.871471691	8.20755691	8.442832172	7.487177101	7.807876684
ABLIM3	5.742305336	5.752165882	5.509675288	5.657718337	5.671185804	5.576172999	5.66216579	5.821820789	5.579772705	5.683448787	5.786005729	5.817161017	5.715813581	5.729355219	5.816273185	5.624657276	6.073357768	5.339325032	5.692729938	5.768652855	5.722657846	6.343891853	4.932421077	5.189966289
ABO	6.022327101	5.884164481	6.05358426	6.110370984	6.032423725	6.211473355	6.257738823	6.064998721	5.98887107	6.019905506	6.078439426	6.086194737	6.110545038	6.171802592	6.107428075	5.719131823	6.259693415	5.687562271	5.971343921	5.933884089	6.080221703	6.622403522	5.18372223	5.495228273
abParts	5.513977687	5.594230549	5.362876444	5.909367532	5.997618998	5.837836088	6.119532504	5.851815842	5.821523897	5.832934826	6.214470332	5.873926245	5.893469687	5.860460958	6.643169127	6.042477071	7.63323411	5.490875825	5.319940702	5.332561666	5.363676863	5.589085405	4.950488077	5.465909136
IGKC	5.688595712	5.429942382	5.858372001	5.83460111	5.880578999	5.826553895	5.959671337	5.707107297	5.634056421	5.720343588	5.437513223	5.713998018	5.809094115	5.727623429	5.58143334	6.074384122	6.965787202	5.273562995	5.337340447	5.295110712	5.293638645	5.527234231	4.851514302	5.241191934
IGKV4-1	5.513977687	5.594230549	5.362876444	5.909367532	5.997618998	5.837836088	6.119532504	5.851815843	5.821523897	5.832934826	6.214470332	5.873926245	5.893469687	5.860460958	6.643169127	6.042477071	7.63323411	5.490875825	5.319940702	5.332561666	5.363676863	5.589085405	4.950488077	5.465909136
ABR	7.325043997	7.347211602	7.147317664	7.361804545	7.298669643	7.467602128	7.487034952	7.130684896	7.223167901	7.237539118	6.961998729	6.943106927	7.396583411	7.262051251	7.398921952	7.450709457	6.728977253	7.00927631	7.298532696	7.694405974	7.915179873	7.145627849	6.222966999	6.639314207
ABT1	7.94459817	8.022446085	8.094488373	7.989973089	7.870061813	8.132341549	7.825126472	8.03381567	8.177296756	7.866424074	8.219534357	7.922833745	7.899432777	7.952106514	7.740942752	8.015616408	7.539784709	8.340362721	8.097418144	7.761012469	7.696842805	8.082168619	6.862987663	7.228494122
ABTB2	6.409741467	6.511325734	6.607489337	6.653375571	6.336600014	6.531075632	6.661487682	6.396539039	6.633654809	6.580809475	7.125040454	6.632487003	6.52285379	6.603688457	6.666685228	6.836280767	6.671280366	6.201083975	6.446535135	6.434863494	6.844137075	6.901829662	5.60304058	6.038524499
